keys,en
Zużycie: -1 HP co 2 dni.,Wear: -1 HP every 2 days.
Zużycie: -1 HP co 3 dni.,Wear: -1 HP every 3 days.
Zużycie: -1 HP co 4 dni.,Wear: -1 HP every 4 days.
Zużycie: -1 HP co dzień.,Wear: -1 HP every day.
Zużycie: -1 HP przy użyciu akcji.,Wear: -1 HP when its action is used.
Zużycie: brak stałego zużycia.,Wear: no scheduled wear.
Zwabienie zwierzyny,Luring game
Zwiad,Scouting
Zwiad odsłania sąsiedni teren: %s.,The scouting reveals neighbouring terrain: %s.
Zwiad: Rekonesans,Scouting: Reconnaissance
Zwiad: brak nieodkrytych sąsiednich kafli.,Scouting: no undiscovered neighbouring tiles.
Zwierzyna ucichła. Las wstrzymuje oddech.,The game has gone silent. The forest holds its breath.
Zyskujesz kartę do talii: %s.,You gain a card for your deck: %s.
Złap oddech i zbierz siły.,Catch your breath and gather your strength.
Złote monety: %d,Gold coins: %d
Złote monety: 0,Gold coins: 0
atak bez obrażeń,an attack with no damage
chroni przed częścią nocnych strat zdrowia/ciepła,protects you from part of the night's health/warmth loss
ciepła,warmth
ciepła nocą,warmth at night
cost_energy,cost_energy
cost_food,cost_food
cost_materials,cost_materials
cost_wood,cost_wood
daje narzędzia po zbudowaniu,grants tools once built
doraźna naprawa budynku,quick building fix
drewna,wood
drewna nocą,wood at night
energii,energy
energii jutro,energy tomorrow
energy,energy
food,food
health,health
hunger,hunger
jedzenia,food
jedzenia nocą,food at night
jesień +%d drewna,autumn +%d wood
kamienia,stone
kamienia nocą,stone at night
kolejne karty dziś zwracają energię,further cards today refund energy
limitu drewna,wood cap
limitu jedzenia,food cap
limitu kamienia,stone cap
limitu wody,water cap
materials,materials
narzędzia (+zbiory),tools (+yields)
narzędzia +%d drewna,tools +%d wood
narzędzia +%d jedzenia,tools +%d food
narzędzia po zbudowaniu,tools once built
narzędzia: tak,tools: yes
następny ruch dziś kosztuje +1 energii,the next move today costs +1 energy
następny ruch dziś za darmo,the next move today is free
nawodnienia,hydration
odkrywa sąsiedni teren,reveals neighbouring terrain
odsłania sąsiedni kafel,reveals a neighbouring tile
pali się: %d n.,burns: %d n.
ruinę,a ruin
sytości,satiety
thirst,thirst
tworzy narzędzia,crafts tools
użyta dzisiaj,used today
warmth,warmth
warta: łagodzi noc,watch: softens the night
warta: łagodzi tę noc,watch: softens this night
water,water
wiosna +%d jedzenia,spring +%d food
wnyki: blokują atak potwora,snare: blocks a monster attack
wody,water
wody nocą,water at night
wood,wood
wybierz opcję poniżej,pick an option below
wygasłe,burnt out
wytrzymałość -%d%%,durability -%d%%
zapał: kolejne karty zwracają energię,zeal: further cards refund energy
zdrowia,health
zdrowia nocą,health at night
zima -%d drewna,winter -%d wood
zima -%d jedzenia,winter -%d food
zima -%d kamienia,winter -%d stone
Łagodny deszcz,Gentle rain
Łagodny wiatr niesie zapach traw i nagrzanej ziemi. +1 ciepła.,A gentle wind carries the scent of grass and sun-warmed earth. +1 warmth.
"Łagodny, suchy wiatr. +1 ciepła, -1 nawodnienia.","A gentle, dry wind. +1 warmth, -1 hydration."
Łatasz na szybko najbardziej nadwątlony budynek na tym kaflu — bez drewna.,You hastily patch the most worn building on this tile — no wood needed.
Łowca,Hunter
Łuna na horyzoncie,Glow on the horizon
Łup w rozpadlinie,Loot in the crevice
"Łąka dusi gęstym pyłkiem. -1 zdrowia, -1 energii następnego dnia.","The meadow smothers you with thick pollen. -1 health, -1 energy the next day."
Łąki,Meadows
Łąki zmieniły się w płytkie jezioro pełne gnijących kęp trawy.,The meadows have turned into a shallow lake full of rotting clumps of grass.
Ściana lodowatego deszczu zalewa obóz. -2 ciepła (schronienie chroni).,A wall of icy rain floods the camp. -2 warmth (shelter protects).
Ścieżka w mroku,Path in the dark
Ścinasz i znosisz solidny ładunek drewna na opał i rozbudowę.,You fell and haul in a solid load of wood for fuel and building.
"Ślepa bestia z podziemnych korytarzy, zwabiona ciepłem.","A blind beast from the underground passages, drawn by warmth."
"Ślepia świecą zielenią. Poluje na ciebie, nie na twoje mury.","Its eyes glow green. It hunts you, not your walls."
"Śnieżna zamieć tnie obóz. -2 ciepła, -1 energii następnego dnia (schronienie chroni).","A snow blizzard slashes the camp. -2 warmth, -1 energy the next day (shelter protects)."
Świat już nie jest ten sam. Przetrwaj do dnia %d.,The world is no longer the same. Survive until day %d.
"Świt nie nadchodzi. Mróz wgryza się głębiej, a ty marniejesz w ciemności. -2 ciepła, -1 energii następnego dnia.","Dawn does not come. The frost bites deeper, and you waste away in the dark. -2 warmth, -1 energy the next day."
Źródło,Spring
Źródło: Bystry strumień,Spring: Swift stream
Żywiczny zapach,Resinous scent
−%d obrażeń od potworów,−%d damage from monsters
